league,actual,top1,top1_prob,top2_prob,top3_prob,top1_hit,top3_hit,top3_prob_sum,xg_home,xg_away,xg_total,xg_diff,xg_total_bucket,xg_diff_bucket
F1,"(1, 0)","(0, 0)",0.3139102560088004,0.2289380078056516,0.18688335015185267,False,True,0.7297316139663047,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 2)","(0, 0)",0.42408793235621073,0.23474643658782265,0.16280308320875633,False,False,0.8216374521527897,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 1)","(0, 0)",0.5032857717061814,0.2568313698958241,0.10763025264792243,False,False,0.867747394249928,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 0)","(0, 0)",0.31729579567310356,0.2365049966136275,0.17734234026086165,False,True,0.7311431325475928,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(1, 0)",0.3288017508392437,0.2854487469881356,0.20333593590065524,False,False,0.8175864337280345,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 0)","(0, 0)",0.3184515727255226,0.25583961799742894,0.15549522233811733,False,True,0.7297864130610688,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 0)","(0, 0)",0.34853716793649664,0.2897166444920416,0.13093549233254353,False,True,0.7691893047610817,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
D1,"(1, 1)","(0, 0)",0.48014733751809574,0.26565576235840066,0.10759504776641138,False,False,0.8533981476429078,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(1, 1)","(0, 0)",0.34239965336976075,0.27741077922380164,0.12829253240412053,False,False,0.7481029649976829,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 0)","(0, 0)",0.32116651906071825,0.30589202013154443,0.15823729857370833,True,True,0.7852958377659711,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(0, 2)","(0, 0)",0.3045970755820917,0.29254127276190584,0.15539843077340604,False,False,0.7525367791174036,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(1, 1)","(0, 0)",0.4081285939982601,0.2669520507035904,0.12951642840990943,False,False,0.8045970731117599,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(0, 0)",0.3416730158191641,0.2437245324971794,0.16773967423074862,False,True,0.7531372225470921,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 0)","(0, 0)",0.41342042787520633,0.25602449158055335,0.14065712590247345,True,True,0.8101020453582332,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(2, 1)","(0, 0)",0.2808155391839015,0.2658220157665288,0.16989902337155388,False,False,0.7165365783219841,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(2, 1)","(0, 0)",0.2945991709304689,0.29000007922750143,0.15899743696037114,False,False,0.7435966871183415,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 1)","(0, 0)",0.6459008239011824,0.20411973616725612,0.08623660110420515,False,True,0.9362571611726437,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(2, 2)","(0, 0)",0.3352291416746822,0.32373882911032154,0.16663748941319434,False,False,0.8256054601981981,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(0, 0)",0.26289971071927376,0.21870249243974452,0.21004446695634402,False,True,0.6916466701153623,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.39382850775790423,0.2635806168850848,0.13665257402238098,False,True,0.7940616986653699,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(2, 0)","(1, 0)",0.2660150928483331,0.25513827030151554,0.16309328644082205,False,True,0.6842466495906707,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(0, 0)",0.3544770463759178,0.3073608589688349,0.1427726593088174,False,False,0.8046105646535702,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.4065421897936242,0.31912652124973023,0.13095985616243883,False,False,0.8566285672057932,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(2, 0)","(0, 0)",0.4559500533120393,0.24541562073559386,0.1395357673195611,False,False,0.8409014413671942,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 1)","(0, 0)",0.30363553044999375,0.21851670334285056,0.2000158362477068,False,True,0.7221680700405512,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(0, 0)","(2, 0)",0.28536849337207304,0.2338369615956814,0.22404661165278178,False,False,0.7432520666205362,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SP1,"(0, 2)","(0, 0)",0.3414320510796986,0.30265082273143334,0.14491186011897425,False,False,0.7889947339301062,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 1)","(0, 0)",0.40060324449947643,0.2830658307649011,0.1133803236710046,False,False,0.7970493989353821,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.4541151104236746,0.2041232362243491,0.1903660657735123,True,True,0.8486044124215361,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 0)","(0, 0)",0.2974805789709701,0.24864422726948301,0.17259505410483525,True,True,0.7187198603452883,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 0)","(0, 0)",0.33796277282116105,0.22675910006607014,0.18929777255126798,True,True,0.7540196454384992,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(2, 2)","(1, 0)",0.33561919203766943,0.2811973013077113,0.2123229722546897,False,False,0.8291394656000706,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.5707721108300682,0.27797402920234493,0.06901294198914634,True,True,0.9177590820215594,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.6294415028853456,0.2914586243581933,0.06747897089989309,True,True,0.9883790981434319,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 1)","(0, 0)",0.45283030037922395,0.25983236102608603,0.12419578323533507,False,False,0.8368584446406451,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 1)","(0, 0)",0.4348566417858602,0.22792231408910793,0.16767376386733515,False,False,0.8304527197423033,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 1)","(0, 0)",0.38192384790606,0.2673335272216008,0.13471963877529383,False,True,0.7839770139029546,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 1)","(2, 0)",0.2840207355101092,0.24946461708810574,0.21557573746343683,False,False,0.7490610900616518,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(1, 0)",0.36423841338208285,0.303452582570065,0.21860025157713828,False,True,0.8862912475292861,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 1)","(0, 0)",0.24432675082596264,0.2350435433432824,0.20701111510148199,False,True,0.686381409270727,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(0, 0)","(0, 0)",0.24453394894259428,0.22797042421041433,0.21853799427729528,True,True,0.6910423674303039,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
